Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
27,10,2019,18,31,35,BEG,12.98,33,2.54,NF,10,29,8,7,0,0,0,0,0,43,0,0,40,0,0,2,2,1706,23,22
27,10,2019,18,31,59,BEG,6.71,19,2.83,NF,13,30,9,2,0,0,0,0,0,28,0,0,24,0,0,3,7,936,16,17
27,10,2019,18,32,19,BEG,3.18,7,2.20,NF,21,25,6,1,1,0,0,0,0,15,0,0,9,0,0,2,3,588,5,5
27,10,2019,18,32,32,BEG,7.72,26,3.36,NF,16,17,17,4,0,0,0,0,0,36,0,0,30,0,0,2,1,1202,17,21
27,10,2019,18,32,44,BEG,6.74,20,2.96,NF,15,18,15,5,1,0,0,0,0,30,0,0,26,0,0,4,4,969,16,19
27,10,2019,18,33,3,BEG,6.51,17,2.61,NF,13,27,11,3,0,0,0,0,0,28,0,0,22,0,0,3,6,1032,14,15
27,10,2019,18,33,19,BEG,5.58,17,3.04,NF,18,24,6,6,0,0,0,0,0,25,0,0,22,0,0,2,4,958,11,14
27,10,2019,18,33,32,BEG,6.77,22,3.24,NF,14,20,14,6,0,0,0,0,0,32,0,0,28,0,0,3,3,868,18,17
27,10,2019,18,33,47,BEG,3.57,12,3.36,NF,23,18,9,4,0,0,0,0,0,14,0,0,12,0,0,1,3,579,10,11
27,10,2019,18,34,32,BEG,6.70,18,2.68,NF,18,20,12,3,1,0,0,0,0,28,0,0,24,0,0,3,1,838,15,15
27,10,2019,18,34,50,BEG,6.98,17,2.43,NF,17,21,8,5,2,1,0,0,0,35,0,0,26,0,0,4,2,855,14,13
27,10,2019,18,34,59,BEG,6.23,19,3.04,NF,14,26,13,1,0,0,0,0,0,29,0,0,24,0,0,3,4,860,14,14
27,10,2019,18,35,26,BEG,4.96,15,3.02,NF,18,23,10,3,0,0,0,0,0,23,0,0,18,0,0,3,3,894,13,13
27,10,2019,18,35,34,BEG,6.33,20,3.15,NF,17,17,16,4,0,0,0,0,0,24,0,0,22,0,0,2,1,783,16,15
27,10,2019,18,35,46,BEG,4.16,16,3.84,NF,20,18,12,3,1,0,0,0,0,22,0,0,19,0,0,2,3,684,14,14
27,10,2019,18,36,22,BEG,3.81,13,3.41,NF,16,25,12,1,0,0,0,0,0,15,0,0,13,0,0,1,3,587,10,10
27,10,2019,18,36,35,BEG,5.72,19,3.32,NF,14,22,16,2,0,0,0,0,0,26,0,0,24,0,0,3,4,884,14,15
27,10,2019,18,36,43,BEG,7.16,20,2.79,NF,13,24,14,3,0,0,0,0,0,32,0,0,25,0,0,3,4,1092,16,18
27,10,2019,18,37,11,BEG,5.06,12,2.37,NF,19,19,7,6,3,0,0,0,0,22,0,0,19,0,0,4,3,677,12,12
27,10,2019,18,37,18,BEG,6.32,21,3.32,NF,17,19,13,5,0,0,0,0,0,27,0,0,25,0,0,2,1,965,14,17
27,10,2019,18,37,26,BEG,6.12,26,4.24,NF,15,23,13,3,0,0,0,0,0,33,0,0,28,0,0,2,1,968,17,16
27,10,2019,18,38,1,BEG,5.66,15,2.65,NF,18,19,13,4,0,0,0,0,0,29,0,0,23,0,0,3,4,917,10,12
